year,city,Unnamed: 0,env_attention,total_water,avg_u10,avg_v10,tobeijing,totianjin,toshijiazhuang,totangshan,toqinhuangdao,tohandan,toxingtai,tobaoding,tozhangjiakou,tochengde,tocangzhou,tolangfang,tohengshui,煤炭占能源消费总量的比重 (%),石油占能源消费总量的比重 (%),天然气占能源消费总量的比重 (%),一次电力及其他能源占能源总量的比重 (%),pm25,第二产业占比,供气总量
2017,唐山,25.0,-1.6004928663656146,13.040275,0.2521827343534318,0.13943844986457277,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,0.013106643917890265,0.9602246198408223,-0.09080084735371635,-0.21490832656409362,0.4216033061717488,1.2585249425943512,-0.24282906102528126
2018,唐山,26.0,0.5734235264369141,14.662468,-0.7782862679017728,0.004977930092634817,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-0.33640386055917054,0.9602246198408223,0.43887076220963195,0.10745416328204711,0.12208426810797839,1.9351939825122473,-0.20931385571591854
2019,唐山,27.0,-0.9314908431584698,12.357714,0.36358979109213513,0.3115425976124526,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-0.6640699585064147,1.104258312816949,0.7415402533886887,0.42981665312818784,-0.16434898673941423,1.241199135028886,-0.2126481212956053
2020,唐山,28.0,-1.6075324305789476,11.425335,0.953782669067055,-0.0994453679376811,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-0.8388252107449443,0.9602246198408223,1.0442097445677454,0.6447249796922815,-0.6543388693971363,1.0053756431656076,-0.21550533822309942
2021,唐山,29.0,-0.7825041498207274,20.763426,-0.21493970025328524,-0.34690144878962903,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-1.057269276043107,0.8161909268647007,1.3468792357468022,0.8954513606837239,-0.7163751750155222,1.0794915977512096,-0.17641526116444312
2022,唐山,30.0,-1.7674573246396923,13.572745,0.4681416678376221,-0.1433727238776779,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-1.0791136825729237,0.2400561549601992,1.0442097445677454,1.2178138505298652,-0.9713056184160781,1.2748882052950687,-0.12984465524055355
2023,唐山,31.0,-1.4932752720347713,15.739675,0.7022090849114184,-0.10480791583834705,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-1.253868934811455,0.8161909268647007,1.1198771173625093,1.325268013811911,-0.720737102754315,1.2864387436720455,-0.22076809835420316
2024,唐山,32.0,-1.290505519196679,18.793736,-0.9044798196925783,-0.044143721628076144,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,-1.6033794392885141,-0.04801123099204905,1.3468792357468022,2.005811047931542,-0.9800294738936636,0.8686942723713817,-0.221889670185422
2010,天津,,-0.24724523615881377,,0.05962082087785888,1.165935082311317,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.0351811414286,0.8321175675109547,0.28614430696424603
2011,天津,,-0.24724523615881377,,0.05962082087785888,1.165935082311317,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.0351811414286,0.8321175675109547,0.28614430696424603
2012,天津,,-0.24724523615881377,,0.05962082087785888,1.165935082311317,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.0351811414286,0.8321175675109547,0.28614430696424603
2013,天津,,-0.24724523615881377,,0.05962082087785888,1.165935082311317,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.0351811414286,0.8321175675109547,0.28614430696424603
2014,天津,33.0,-0.24724523615881377,11.770845,0.05962082087785888,1.165935082311317,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.0351811414286,0.8321175675109547,0.28614430696424603
2015,天津,34.0,0.7731510552928956,15.304132,-0.17345174423669307,0.5712338895514174,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,0.7121276528720103,0.2400561549601992,-0.923141948096122,-0.7879971974016767,0.6222519821562166,0.7108369145526976,0.3346484824252142
2016,天津,35.0,0.5670265743655712,15.796521,-0.5207427594981426,0.5516082108424996,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,0.36261714839495107,0.6721572338885741,-0.6961398297118305,-0.42981665312818723,0.5786327047682892,0.44132435242323653,0.32555410811958463
2017,天津,36.0,0.62030001206795,11.623629,0.21085637407250638,0.7434618884134676,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,0.013106643917890265,0.9602246198408223,-0.09080084735371635,-0.21490832656409362,0.13613936859964396,0.03224278490530518,0.41057788040159676
2018,天津,37.0,0.639340804397234,14.689612,-0.7439966571243205,0.46765211613318336,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-0.33640386055917054,0.9602246198408223,0.43887076220963195,0.10745416328204711,-0.37662947002732916,-0.10155095129467713,0.6438673587879443
2019,天津,38.0,1.227203733972429,11.802892,0.28095427957336316,0.9150332299589128,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-0.6640699585064147,1.104258312816949,0.7415402533886887,0.42981665312818784,-0.14399332395838116,-0.14775310480258436,0.8422231733725053
2020,天津,39.0,0.28166539792545003,11.934375,0.8058921588853283,0.452355740830857,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-0.8388252107449443,0.9602246198408223,1.0442097445677454,0.6447249796922815,-0.4410890688339335,-0.6511640690658274,0.9323396937659567
2021,天津,40.0,0.5107258884265051,21.052435,-0.5877247561629442,0.2513660928320929,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-1.057269276043107,0.8161909268647007,1.3468792357468022,0.8954513606837239,-0.6785718012793184,-0.7589690939176114,1.1958836991740738
2022,天津,41.0,1.3629341974709752,12.083636,0.540851962500969,0.4719984630019569,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-1.0791136825729237,0.2400561549601992,1.0442097445677454,1.2178138505298652,-0.9751828875172271,-0.45191728206297604,1.2561009415420694
2023,天津,42.0,-0.11725433603316839,13.970488,1.086954595030286,0.6062424516004846,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-1.253868934811455,0.8161909268647007,1.1198771173625093,1.325268013811911,-0.6722712389899509,-0.4788685382759215,1.2719983341271055
2024,天津,43.0,0.36058760950038654,15.658123,-0.37838126095379687,0.646725749186654,110.60004565473037,0.0,261.5534444384806,102.9755761354397,224.67941282615047,366.4039195136734,329.53854408036045,152.067834415021,273.5123539384634,214.88890492805035,96.66634285835352,61.872698596859536,203.51637695676013,-1.6033794392885141,-0.04801123099204905,1.3468792357468022,2.005811047931542,-0.9179931682752773,-0.6020742809636751,1.2837164760197946
